TripID,Cost
1,275886
2,207335
3,264228
4,250506
5,302331
6,322735
7,213169
8,292729
9,316742
10,217569
11,186079
12,234809
13,276181
14,204847
15,176693
16,335838
17,189641
18,384772
19,337058
20,416678
21,304877
22,328108
23,213070
24,317123
25,187179
26,149902
27,295323
28,178984
29,355952
30,261412
31,176771
32,229867
33,218598
34,213129
35,244689
36,264682
37,232065
38,129616
39,353396
40,217398
41,222232
42,208712
43,313363
44,141486
45,244901
46,196639
47,249578
48,265872
49,191607
50,221417
51,300103
