TripID,Cost
1,97654.6
2,77884.4
3,91365
4,88755.1
5,84901.4
6,104621
7,111711
8,100518
9,69534.7
10,55524.5
11,81521.5
12,83512.6
13,78972
14,68034.9
15,103441
16,115357
17,93662.5
18,89948.6
19,94340.3
20,93908.3
21,123854
22,63276.7
23,127931
24,103166
25,121679
26,61506.4
27,52402.7
28,91170.5
29,86356.2
30,114672
31,109739
32,78005.8
33,139592
34,64541.9
35,112093
36,127423
37,73836.3
38,110865
39,87770.8
40,80939.8
41,65844.2
42,68816.4
43,70637.6
44,86630.4
45,75203.7
46,83721
47,93296.5
48,111987
49,94281.7
50,131835
51,123266
52,100888
53,122114
54,108655
55,73487.8
56,135375
57,151567
58,35978.8
59,173412
60,59583
61,67337.3
62,109022
63,114863
64,141382
65,59698.4
66,121626
67,122837
68,191268
69,35641
70,55000.5
71,108350
72,33556.8
73,56215.3
74,89847.3
75,91300.1
76,64875.1
77,75392.4
78,65705.2
79,42109.8
80,86611.9
81,99629
82,73470
83,48509
84,40134.3
