TripID,Cost
1,26775.7
2,28770.9
3,33266.1
4,33405.8
5,58036.9
6,22740.5
7,32311.8
8,43670.3
9,31633.4
10,59132.4
11,29200.9
12,37669.6
13,55119.8
14,37769.2
15,60079.9
16,26799.2
17,36033.4
18,36112.5
19,68464.5
20,47218.8
21,42279.1
22,22683.9
23,26558.5
24,46229
25,53429.6
26,40916.6
27,29930
28,32232.5
29,48119.3
30,42415.5
31,21326.1
32,51328.5
33,40432.3
34,46589.9
35,24283.3
36,18667.5
37,21819.3
38,25870
39,55621.5
40,37626.4
41,27789.5
42,40272.8
43,30525.7
44,37260.4
45,25518.7
46,30763.3
47,48289
48,50474.4
49,39176.1
50,41527.6
51,42461.3
52,33066.7
53,35105.3
54,20786.2
55,40206.6
56,40556.7
57,30143.7
58,30049
59,20478.7
60,34398.9
61,39449.9
62,54507.6
63,25698.9
64,54932.3
65,23901
66,56351.2
67,36088
68,60009.4
69,41905.9
70,28536.7
71,38842.9
72,39615.5
73,68751.7
74,25004.4
75,47489.1
76,22302.6
77,40424.6
78,36686
79,78522.7
80,58173.8
81,29579.7
82,29736.2
83,29228.6
84,38411.9
85,20600.4
86,33842.8
87,30679.2
88,18943.3
89,28208.3
90,26827.1
91,40492.1
92,64736.1
93,58977.6
94,49572.3
95,36196.9
96,14467.5
97,35831.7
98,24970.6
99,9125.93
100,28864.3
101,30143.7
102,31093.6
103,52911.4
104,65095.8
105,23765.9
106,75021.8
107,52244.7
108,26742.9
109,52136
110,20322.5
111,26714.1
112,50744.6
113,37311.9
114,37075.1
115,61061.1
116,49189.5
117,36438.8
118,43032.7
119,41526.5
120,19577.2
121,10788
122,42796.4
123,12581.3
124,31078.1
125,42442
126,47673.9
127,76244.4
128,39885.2
129,79451.3
130,52286.4
131,13995.1
132,77918.5
133,28308.3
134,19342.9
135,12449
136,24093.6
137,42847.3
138,36231.1
139,11442.8
140,48952
141,32814.2
142,22592
143,72164.6
144,14353.7
