TripID,Cost
1,81487.2
2,96460.3
3,83133.5
4,55644.6
5,40776.9
6,79884
7,64704
8,91204
9,85611.6
10,54118.6
11,40214.4
12,48689.8
13,63209.8
14,75439.6
15,31266.8
16,92559.6
17,95410.2
18,83275.8
19,63383.9
20,62829.4
21,83604.8
22,33072
23,71185.2
24,67603.1
25,104448
26,102235
27,88629.1
28,24011.9
29,4131.31
30,119423
31,65446.3
32,133016
33,109893
34,72163.2
35,109267
36,76266.3
37,58826.9
38,54068.2
39,70897.1
40,125029
41,49170.6
42,93844.5
43,93961.7
44,58761.1
45,70279.8
46,85801.2
47,88475
48,95703.3
49,72694
50,83475.9
51,36474.2
52,65745.2
53,61757.8
54,24130.7
55,89609.2
56,82977.3
57,66683.9
58,126326
59,46801.6
60,106718
61,58607.7
62,162894
63,100432
64,62526.4
65,70166.3
66,67128.9
67,44307.8
68,61961.3
69,51823.3
70,68827.1
71,75716.3
72,44272.3
73,42994.2
74,92606.1
75,64132.2
76,76748.3
77,59237
78,72489.7
79,131199
80,89109.1
81,74301
82,75806.3
83,76357.1
84,4131.31
85,82215.1
86,63459.8
87,82114
88,137013
89,54109.9
90,83357.8
91,46676.1
92,53272.6
93,77784.2
94,34565.8
95,62622.7
96,100919
97,58499.9
98,89727.3
99,58885.1
100,54970.7
101,69502.1
102,44273.8
103,112670
104,80790.3
105,80132.9
106,34549.3
107,62464.8
108,59114.4
109,74653.5
110,164156
111,84100.5
112,91821.2
113,89148.5
114,131486
115,151400
116,135397
117,76409.6
118,41818.1
119,60698.3
120,82444.9
121,46490.4
122,88632.9
123,89480.5
124,70716.8
125,60740.8
126,50716.7
127,64088.3
128,56890.7
129,41320.8
130,42963
131,57028.8
132,68653.5
133,37877.7
134,63653
135,70159.2
136,34565.8
137,91459.9
138,54551
139,71347.7
140,114945
141,81163.7
142,71884.8
143,66574
144,86672.3
145,100661
146,60923.9
147,71161.1
148,53255.9
149,4131.31
150,70008.9
151,79754.9
152,107981
153,98119
154,88829.4
155,51383
156,67337.9
157,114992
158,58409.6
159,83610.3
160,47561.1
161,100923
162,69809
163,76918.5
164,65397.6
165,73926.3
166,61363.3
167,52692.1
168,67192.1
169,55716.2
170,71486
171,47265.9
