GiftID,Latitude,Longitude,Weight,TripID
878,-16.5551,-58.0248,16.4916,1
2240,-17.9242,-59.0063,3.13621,1
2845,-16.9324,-59.8037,13.9097,1
3553,-15.6704,-58.0256,4.25256,1
5345,-15.8429,-57.85,24.8079,1
8552,-17.1223,-58.9562,32.4109,1
9588,-17.1978,-57.8889,27.4666,1
9997,-17.2944,-59.0013,1,1
11349,-16.2525,-59.4669,15.4164,1
11728,-16.1088,-57.124,13.1162,1
13623,-17.2209,-58.2788,1.97545,1
15279,-15.7053,-58.925,18.8329,1
16578,-17.0967,-58.198,1,1
16843,-17.3323,-59.8342,24.2299,1
20766,-16.1199,-58.3523,30.1517,1
21155,-17.0867,-59.1635,50,1
21239,-16.8828,-59.6213,38.615,1
24028,-17.8091,-59.2811,1.49469,1
26023,-16.5073,-58.7581,13.4603,1
29432,-17.0443,-58.5496,25.5989,1
30445,-17.2328,-58.9002,30.0024,1
35423,-17.0084,-58.8704,22.0109,1
38834,-16.3376,-58.7123,4.22539,1
41367,-16.5049,-58.8243,1,1
43420,-16.6872,-57.303,5.0986,1
45496,-16.5137,-59.5189,23.4784,1
47393,-16.24,-58.2518,11.5557,1
47400,-17.9225,-59.7158,26.1447,1
47797,-16.7632,-57.904,20.8949,1
50029,-17.3181,-58.9986,11.6945,1
51349,-15.7137,-59.2012,31.7191,1
52795,-16.9271,-58.6472,1,1
54694,-16.9294,-58.8911,21.132,1
60763,-17.3933,-58.4839,34.3983,1
62192,-17.7025,-58.1473,1,1
63079,-17.6913,-58.144,1,1
63382,-17.0874,-58.748,4.9924,1
64496,-16.9351,-57.3083,5.27708,1
68356,-17.4448,-58.0486,1,1
68605,-15.1642,-58.6002,18.8814,1
71202,-15.3355,-58.8549,27.2046,1
71659,-17.4087,-58.6383,25.5072,1
72746,-16.2187,-59.65,1,1
73017,-16.3047,-58.8676,43.1008,1
77064,-15.8657,-57.3921,1,1
79901,-15.7468,-59.1007,1,1
83787,-16.8447,-58.7199,1,1
89022,-16.6922,-57.2869,1,1
89898,-16.7945,-57.9958,37.1004,1
90247,-15.7478,-58.5276,14.8566,1
90439,-16.458,-58.7526,1,1
90631,-16.2798,-58.4524,12.1688,1
90904,-16.2431,-57.5116,16.6553,1
93891,-16.5065,-58.9573,1,1
94042,-16.0654,-57.5366,50,1
94318,-17.2433,-60.0668,28.8812,1
99775,-15.4283,-57.6103,9.75845,1
1227,-16.48,-59.8943,18.0479,2
2836,-14.403,-60.1323,3.5009,2
3372,-15.5289,-59.8887,9.43228,2
3593,-16.261,-61.5603,12.4611,2
4141,-16.5867,-60.5377,36.1979,2
9368,-14.7551,-61.6689,1,2
9714,-15.7202,-60.409,13.0295,2
11196,-14.0039,-60.8185,1,2
20785,-14.6421,-60.4486,1,2
21962,-16.8198,-61.0496,15.1523,2
23249,-16.1566,-61.442,17.3855,2
25559,-16.2696,-60.6234,1,2
25645,-16.0003,-60.9372,1,2
27276,-15.7341,-59.8452,5.75327,2
28349,-16.3996,-60.6427,11.9033,2
32214,-14.671,-61.5326,1,2
33289,-15.6875,-59.9518,36.9856,2
38025,-16.0487,-61.7839,5.02504,2
39559,-15.621,-60.9928,15.9404,2
44111,-14.8023,-59.121,1,2
46334,-15.7877,-60.7852,1,2
48273,-15.0609,-59.4067,1,2
48658,-14.5856,-60.048,1,2
50685,-16.0141,-61.1941,43.901,2
52955,-14.9403,-59.2918,30.6938,2
52985,-16.2072,-60.2178,48.9418,2
55613,-13.9548,-60.0135,14.2335,2
55792,-16.4042,-62.0974,23.4872,2
