TripID,Cost
1,84345
2,65178.7
3,96830
4,93064.6
5,76743.4
6,65356.3
7,79125.9
8,60613.6
9,44895.2
10,58169.4
11,59185.4
12,73755.3
13,101532
14,82380.9
15,69582.4
16,93471.9
17,131580
18,105452
19,74324.1
20,81165.2
21,96168.1
22,97685
23,137232
24,81416.6
25,104255
26,160115
27,39766.5
28,96087.3
29,121098
30,86260.1
31,94072
32,112502
33,52241.6
34,146380
35,62773.4
36,130554
37,77233.5
38,60446.3
39,98116
40,115529
41,98116
42,88744.5
43,68664.1
44,158137
45,98505.7
46,122551
47,71580.8
48,130841
49,53935.2
50,88883.2
51,108379
52,111410
53,114645
54,110683
55,116888
56,142974
57,59848
58,85669
59,59702.1
60,119822
61,103243
62,63754.2
63,65360.2
64,52342.1
65,56605.6
66,64322.3
67,105259
68,104066
69,75944.2
70,67693.7
71,107496
72,93306.8
73,71389.3
74,94898
75,45134.4
76,88645.1
77,90806.1
78,84340.7
79,98116
80,91400.4
81,98195.8
82,158061
83,100962
84,63416.3
85,73493
86,52645.8
87,170180
88,66871
89,131527
90,190500
91,40513.3
92,103962
93,83401.4
94,94262.7
95,90616.9
96,60328.2
97,90584.2
98,87718.4
99,64228.9
100,119073
101,91888.8
102,55982.9
103,99257.7
104,79682.1
105,77233.5
106,98698.4
107,62304.9
108,80003.2
109,56975.1
110,142376
111,56566.3
112,59254.8
113,45598.6
114,55601
115,72465.1
116,64240.9
117,47230.7
