TripID,Cost
1,255701
2,236023
3,258683
4,241968
5,314317
6,324466
7,321115
8,249699
9,247965
10,293513
11,231012
12,312973
13,247425
14,250617
15,319013
16,179016
17,215282
18,295603
19,210718
20,185956
21,257274
22,235557
23,242939
24,245986
25,338896
26,273525
27,215535
28,324563
29,255579
30,222285
31,261160
32,475225
33,247475
34,287354
35,209492
36,230969
37,250778
38,458262
39,189416
40,318514
41,222945
42,323985
43,263281
44,174575
45,297146
46,248009
47,51607.6
48,411836
49,186267
50,197887
51,247015
52,123473
53,254895
54,232537
55,409191
56,281129
57,239831
58,225867
59,205615
60,239115
