TripID,Cost
1,59226
2,48472.2
3,37434.4
4,74525
5,82528.9
6,64735.6
7,54509.1
8,38746.9
9,90464.6
10,73493.9
11,85023.3
12,66272.6
13,82513.2
14,103558
15,56404.9
16,41729.9
17,95849.9
18,82015.7
19,37049.8
20,50788
21,14473.2
22,40760.2
23,54232.1
24,87226.7
25,71839.9
26,55053.7
27,69876
28,43795.4
29,91328.2
30,49354.3
31,100820
32,107338
33,47083.3
34,66208.8
35,45673.1
36,120484
37,90779.3
38,78184.3
39,96607.6
40,55083.4
41,116170
42,63405.6
43,61219.7
44,87364.7
45,85308
46,49402.9
47,75851.1
48,69708.9
49,90892.6
50,63913.2
51,39400.1
52,47590.2
53,52910.8
54,129723
55,99721.5
56,60147.1
57,29136
58,52433
59,39573.5
60,76574.7
61,141284
62,103909
63,12845.3
64,52587
65,55663.9
66,78947.2
67,113730
68,139707
69,85683.5
70,25223.8
71,26042.5
72,57365.5
73,63895.2
74,61536.2
75,114237
76,26842.8
77,84914.7
78,74525
79,110278
80,81447
81,139482
82,45167.2
83,45029.7
84,67297.1
85,47086.4
86,59619.1
87,105876
88,78194.9
89,84914.7
90,65899.6
91,81442.5
92,51728
93,128973
94,57365.5
95,61518.3
96,56107.4
97,68812.5
98,33289.9
99,72247
100,80381.1
101,75747.1
102,74525
103,41368
104,62494.8
105,80414.2
106,51702.2
107,31174
108,62467.3
109,83806.4
110,60404.4
111,105655
112,52775.4
113,110278
114,78178
115,67031.2
116,57755.5
117,45711.4
118,75877.5
119,66815.9
120,24364.8
121,64762.2
122,67117.3
123,85809.1
