TripID,Cost
1,118359
2,103326
3,186765
4,152548
5,122692
6,131424
7,97889.2
8,145338
9,179428
10,120069
11,82183.6
12,143520
13,153864
14,79530.1
15,179224
16,165902
17,77057.3
18,121519
19,48782.2
20,88845.5
21,82520.3
22,66174.6
23,166125
24,184505
25,118115
26,162370
27,153316
28,156283
29,99510
30,164337
31,65442.3
32,123762
33,86885.2
34,102699
35,172654
36,88387.2
37,160910
38,83938.4
39,150201
40,83323.9
41,88414.8
42,221869
43,140417
44,111781
45,151486
46,168092
47,160269
48,152524
49,109850
50,89721.9
51,68473
52,117349
53,80266.6
54,138440
55,190400
56,137961
57,102591
58,192112
59,161934
60,109766
61,97036.1
62,81071.8
63,136126
64,127262
65,95215.7
66,111053
67,124549
68,119175
69,154327
70,78992.8
71,84534
72,109099
