TripID,Cost
1,78732.4
2,196415
3,136216
4,85254.6
5,177407
6,181301
7,5398.26
8,185276
9,170773
10,127150
11,151703
12,149304
13,80068
14,113535
15,129163
16,87779
17,57103.9
18,202226
19,161784
20,135241
21,95082.4
22,108704
23,174904
24,150673
25,118978
26,187568
27,101450
28,184029
29,197320
30,72485.8
31,125464
32,109492
33,5398.26
34,124097
35,88629.2
36,110363
37,172453
38,186855
39,74152
40,164603
41,146481
42,250677
43,227416
44,124848
45,77220.2
46,147424
47,128781
48,75843.3
49,259280
50,285246
51,217935
52,100128
53,135748
54,112691
55,123220
56,190178
57,160546
58,182048
59,167513
60,118079
61,5398.26
62,105874
63,142608
64,79313.8
65,102415
66,113741
67,110073
68,167035
69,157445
70,119691
71,145239
72,180428
73,141856
74,115964
75,130787
76,104624
77,132777
78,146907
79,145562
80,147628
81,112100
82,125088
83,104172
84,178587
85,127203
86,141345
87,138302
