TripID,Cost
1,155559
2,151097
3,119326
4,157796
5,177115
6,152776
7,192572
8,101756
9,158597
10,140324
11,111810
12,125932
13,174801
14,71546.9
15,159892
16,124820
17,165640
18,167640
19,156607
20,200348
21,198778
22,137796
23,154116
24,138306
25,143346
26,136263
27,123276
28,170348
29,171207
30,203556
31,218515
32,133178
33,156943
34,164980
35,128787
36,235401
37,162702
38,105682
39,108279
40,96964.8
41,184729
42,136718
43,102749
44,201090
45,208886
46,104519
47,211820
48,193284
49,143578
50,191471
51,134052
52,170629
53,125906
54,147784
55,96361.7
56,126552
57,161074
58,160963
59,109905
60,120573
61,157705
62,137022
63,195877
64,144380
65,149625
66,85945.1
67,168024
68,115048
69,145324
70,156344
71,154248
72,107211
73,123991
74,143652
75,158206
76,112610
77,140490
78,166718
79,124630
80,205159
81,156963
82,167350
83,143521
84,110904
