TripID,Cost
1,51697.5
2,76074.4
3,27159.5
4,36863.8
5,26310.8
6,68671.9
7,72350.2
8,53730.1
9,82139.8
10,57887.6
11,42665.8
12,66906.9
13,30415.8
14,21294
15,49236.3
16,77002
17,62981.9
18,37424.7
19,41602.9
20,25783.7
21,66621.9
22,47900.9
23,39432.8
24,28433.4
25,54593.3
26,60685.8
27,70493.6
28,58545.1
29,69809.3
30,34097.4
31,77559.9
32,57048.7
33,29102.4
34,57887.6
35,45933.6
36,35878.5
37,25176
38,56419.7
39,91664.1
40,55993.5
41,48187.6
42,38083.3
43,48332.1
44,104871
45,53620.5
46,53359.3
47,43951.4
48,42967.6
49,100928
50,21701.1
51,42442.2
52,79239.2
53,58222.3
54,39129.7
55,62136.5
56,107770
57,52111.2
58,16098.1
59,49260.1
60,85386.8
61,57478.3
62,76162.9
63,53802
64,42122.7
65,75823.2
66,65443.2
67,96379.6
68,63712.3
69,92093.9
70,37283.8
71,85386.8
72,20295.7
73,127501
74,25960.2
75,39597.2
76,43516.8
77,26078.6
78,52730.3
79,42407.1
80,42427.5
81,15088.9
82,33514.9
83,69906
84,34063.5
85,93308.7
86,48431
87,12119.3
88,65176.8
89,24814.5
90,73845.5
91,27484.3
92,47373.3
93,57887.6
94,57915.9
95,20278.5
96,24829.8
