TripID,Cost
1,113867
2,38560.2
3,86078.9
4,99968.7
5,105064
6,143193
7,93725.2
8,58328.9
9,122182
10,91752.6
11,79056.4
12,71320.9
13,83338.8
14,83106.9
15,123071
16,111095
17,71022.5
18,90364
19,107427
20,80954.8
21,116333
22,79408.8
23,82134.8
24,43739.5
25,115123
26,52762.7
27,94105.7
28,78863
29,128385
30,43875
31,99871.1
32,76038.3
33,125607
34,50876.5
35,37341.5
36,94121
37,125934
38,69682.1
39,64449.1
40,91156.2
41,55704.8
42,96354.3
43,59136.4
44,152131
45,94730
46,52206.9
47,82526.9
48,73907.6
49,112371
50,54847.6
51,60947.1
52,79016.7
53,148254
54,46936.4
55,97629.4
56,144763
57,93876.7
58,61292.5
59,96361.9
60,79056.4
61,121831
62,72851.5
63,84609.7
64,97718.3
65,48120.5
66,101660
67,116508
68,104289
69,149827
70,105543
71,63021.8
72,89603.3
73,76814
74,54076.2
75,124561
76,113667
77,100025
78,101831
79,72248
80,90214.5
81,89245.2
82,56065.7
83,116333
84,70116.8
85,42936
86,43130.7
87,111095
88,55759.5
89,79418.8
90,59205
91,72911.7
92,77695.4
93,80237
94,67538.7
95,84417.1
96,114852
97,76236.7
98,89537.3
99,106935
100,139943
101,79056.4
102,99330
103,76241.7
104,90090.9
105,77909.5
