TripID,Cost
1,151347
2,137417
3,156237
4,138371
5,225506
6,190270
7,115853
8,149926
9,184249
10,164594
11,196525
12,167988
13,123861
14,129862
15,132118
16,131250
17,200563
18,164396
19,185879
20,164379
21,117930
22,135368
23,181039
24,182555
25,120962
26,140498
27,187499
28,213251
29,184449
30,153411
31,86511.8
32,199748
33,160483
34,175996
35,139361
36,191042
37,105789
38,146555
39,96045.7
40,357934
41,158710
42,133402
43,164259
44,156082
45,150181
46,108703
47,114156
48,128674
49,177117
50,134190
51,238528
52,134244
53,226830
54,79431
55,210634
56,136400
57,240533
58,164219
59,280202
60,121416
61,210657
62,153634
63,163994
64,236736
65,165151
66,158574
67,156781
68,131779
69,172589
70,183376
71,62010.8
72,92207.3
73,145186
74,94897.5
75,310670
76,175878
77,162935
78,145778
79,90132.2
80,247452
81,152881
82,148117
83,81541.3
84,163142
85,149992
86,160503
87,156740
88,193778
89,184802
90,171470
91,161309
92,128528
93,134018
94,142531
95,185879
96,115792
97,150634
98,139361
99,157349
100,220679
101,156647
102,133261
103,166733
104,120962
105,90432.8
106,183867
107,140804
108,200584
109,129865
110,153199
111,177727
112,106237
113,214317
114,123861
