GiftID,Latitude,Longitude,Weight,TripID
1022,43.5097,23.2471,1,1
2576,43.8368,22.8925,11.1398,1
4950,43.9336,22.2772,1,1
5386,42.1277,21.9753,22.9693,1
8985,43.1481,21.471,1,1
9701,42.724,22.4459,1,1
9809,44.6329,21.9086,1,1
13257,44.1897,21.4082,10.2722,1
20108,43.2474,21.8768,1,1
22618,42.8529,21.229,32.5797,1
26307,43.905,21.7216,1,1
28256,43.2104,22.1501,10.4581,1
29609,44.5305,22.7673,1,1
31153,43.5988,22.291,18.4053,1
40161,43.8526,22.7886,40.9103,1
47852,44.2811,21.7342,1,1
48482,43.0621,21.8736,5.03168,1
59517,44.6282,21.5786,50,1
62926,43.9881,20.9828,24.1356,1
63557,44.1721,23.1045,1,1
71576,42.6829,21.2469,1,1
73470,42.6896,22.0165,19.797,1
94562,42.849,21.1648,1,1
95044,44.9611,21.7121,24.6424,1
95068,43.9503,22.4468,34.7936,1
96501,42.2247,21.2436,18.1291,1
97505,44.9892,22.6522,44.9783,1
97626,43.7487,22.6497,14.3793,1
1103,50.6062,33.6898,1,2
3960,51.5686,33.9047,19.9887,2
5916,52.7925,33.2771,36.831,2
6053,53.7998,32.5815,14.0765,2
6272,52.3878,34.1049,14.2207,2
11089,53.7257,31.8198,14.8606,2
14376,51.1884,32.5762,28.234,2
19333,53.5782,33.0933,1,2
19437,53.7033,33.7163,26.6525,2
24453,52.2129,33.1407,25.2813,2
31473,50.7776,32.7668,3.36036,2
36095,52.954,34.1407,1,2
36121,51.1876,32.3431,1.32044,2
39985,50.5714,32.859,23.9368,2
40377,52.645,32.7708,1,2
40853,52.3628,33.0767,7.19238,2
41497,52.6566,31.8308,1.62252,2
42509,54.3982,34.0898,1,2
53261,53.3487,31.5803,24.295,2
54088,52.6765,31.7876,26.5485,2
54827,50.748,32.2126,1,2
56093,52.9784,31.8615,1,2
56420,51.5483,33.909,1,2
57298,51.7352,32.3879,24.7975,2
58302,52.3524,31.3819,19.3582,2
60697,54.1609,31.9153,21.3007,2
61673,52.8495,31.6981,21.7567,2
66148,54.429,33.2522,22.2327,2
67096,51.825,33.5512,43.9612,2
69406,51.022,33.6507,16.1733,2
69543,53.1108,33.9002,5.33187,2
71733,53.9673,32.7507,21.8936,2
72171,52.0732,32.8113,3.83937,2
72946,52.5977,31.3128,36.9658,2
76089,50.7808,32.6436,1,2
76566,52.2105,33.3493,1,2
