ID,GiftID,TripID,Weight
1,16699,1,50
2,85167,1,50
3,24980,1,40.4132
4,96165,1,35.8179
5,32737,1,34.942
6,38644,1,34.2181
7,65671,1,33.441
8,49303,1,32.6296
9,83703,1,32.5318
10,35244,1,29.6608
11,92625,1,29.4389
12,12590,1,28.2537
13,94837,1,28.1979
14,59844,1,26.5405
15,34154,1,24.8562
16,11737,1,24.2325
17,85140,1,24.1239
18,28987,1,23.8383
19,97080,1,23.8289
20,82623,1,22.7627
21,18490,1,20.3809
22,79813,1,19.9121
23,37613,1,15.9578
24,93690,1,14.6622
25,97189,1,14.1751
26,94580,1,13.4351
27,6620,1,13.2837
28,30087,1,11.4661
29,75551,1,11.078
30,7550,1,7.8645
31,64580,1,6.55356
32,59500,1,5.65573
33,59194,1,5.64822
34,20858,1,5.4474
35,63298,1,4.29096
36,1733,1,3.87542
37,63249,1,3.04067
38,48707,1,2.70046
39,71418,1,2.64952
40,96509,1,2.5972
41,53919,1,2.55746
42,11392,1,1.89158
43,86364,1,1
44,32262,1,1
45,87783,1,1
46,88861,1,1
47,91156,1,1
48,21427,1,1
49,21306,1,1
50,92551,1,1
51,17598,1,1
52,92869,1,1
53,95454,1,1
54,57232,1,1
55,55727,1,1
56,51267,1,1
57,50511,1,1
58,46902,1,1
59,46408,1,1
60,64805,1,1
61,85906,1,1
62,33857,1,1
63,8131,1,1
64,98546,1,1
65,99403,1,1
66,5689,1,1
67,3073,1,1
68,60394,1,1
69,24181,2,50
70,22909,2,46.5978
71,83352,2,43.6927
72,33444,2,41.4289
73,38863,2,34.149
74,3758,2,32.3569
75,62279,2,27.6805
76,61630,2,26.6721
77,17991,2,26.4733
78,98574,2,24.3681
79,79006,2,23.0625
80,43629,2,22.91
81,62551,2,22.4573
82,69310,2,19.3134
83,34051,2,19.1041
84,75689,2,18.0936
85,46805,2,14.2236
86,28366,2,10.9579
87,13674,2,10.4072
88,6269,2,8.81337
89,91316,2,7.91503
90,72870,2,6.6478
91,65638,2,5.90983
92,66180,2,3.95124
93,76327,2,1
94,73971,2,1
95,43866,2,1
96,35480,2,1
97,35090,2,1
98,12118,2,1
99,8510,2,1
100,853,2,1
101,43233,3,50
102,52689,3,46.2745
103,65238,3,41.2788
104,39983,3,38.8463
105,58577,3,35.7955
106,60068,3,35.5916
107,34366,3,34.5567
108,950,3,32.8917
109,16354,3,32.0592
110,6044,3,31.8968
111,7520,3,31.0802
112,46561,3,25.8789
113,41279,3,25.8246
114,38849,3,25.2851
115,87081,3,25.148
116,84568,3,21.16
117,39231,3,17.5097
118,90664,3,16.0233
119,47467,3,15.9424
120,52861,3,15.6961
121,9939,3,15.668
122,90,3,15.5439
123,21897,3,13.8932
124,19357,3,13.5033
125,31635,3,13.1299
126,80330,3,13.0367
127,38631,3,12.4102
128,18178,3,12.3679
129,3547,3,12.3161
130,18746,3,8.25493
131,98219,3,3.35368
132,69865,3,3.18819
133,64361,3,1.57848
134,43643,3,1.0917
135,30179,3,1
136,25564,3,1
137,23215,3,1
138,19251,3,1
139,18761,3,1
140,90487,3,1
141,11195,3,1
142,92876,3,1
143,94118,3,1
144,7103,3,1
145,50219,3,1
146,55877,3,1
147,58196,3,1
148,43700,3,1
149,61492,3,1
150,62780,3,1
151,41070,3,1
152,64917,3,1
153,65332,3,1
154,33646,3,1
155,31154,3,1
156,98593,3,1
157,48433,3,1
158,71772,4,48.8737
159,9830,4,43.7374
160,93248,4,42.4926
161,18928,4,37.0221
162,44620,4,34.8744
163,35125,4,34.0153
164,41435,4,29.6984
165,19988,4,27.9465
166,28818,4,25.9199
167,76683,4,25.5891
168,31986,4,23.862
169,22844,4,23.6469
170,39058,4,21.8806
171,39873,4,21.6671
172,6399,4,20.7968
173,22603,4,18.6491
174,32335,4,16.0321
175,95646,4,15.5566
176,34856,4,15.1066
177,65479,4,13.8822
178,93007,4,13.1161
179,60141,4,13.0041
180,49956,4,9.65942
181,72909,4,9.54504
182,34608,4,7.28855
183,79676,4,5.59126
184,92374,4,3.88665
185,85425,4,3.14751
186,74710,4,1.58801
187,44862,4,1
188,65935,4,1
189,72315,4,1
190,35630,4,1
191,74531,4,1
192,31351,4,1
193,79021,4,1
194,20813,4,1
195,85477,4,1
196,47280,4,1
197,89805,5,46.4
198,89821,5,46.1782
199,71060,5,44.8885
200,38557,5,42.8093
201,19409,5,41.8848
202,68225,5,34.8649
203,73377,5,31.3593
204,78276,5,30.1832
205,11821,5,26.8557
206,93233,5,26.7521
207,71991,5,24.5345
208,6006,5,22.9777
209,95463,5,22.878
210,24950,5,20.584
211,48098,5,19.0048
212,34440,5,18.6596
213,20848,5,16.4379
214,23275,5,15.4255
215,1030,5,14.975
216,12555,5,14.3213
217,89390,5,13.559
218,71844,5,12.8998
219,82225,5,12.2404
220,64461,5,11.3277
221,16098,5,10.8265
222,89175,5,10.1557
223,44635,5,10.0377
224,67968,5,8.44191
225,90053,5,8.30151
226,38156,5,7.73586
227,5799,5,7.58144
228,35327,5,6.99624
229,90006,5,6.0502
230,48512,5,5.73552
231,16914,5,5.09786
232,86956,5,5.02501
233,55717,5,2.58129
234,22973,5,1
235,17221,5,1
236,16385,5,1
237,12215,5,1
238,11833,5,1
239,8847,5,1
240,94211,5,1
241,67482,5,1
242,60669,5,1
243,60277,5,1
244,54866,5,1
245,54083,5,1
246,52545,5,1
247,49720,5,1
248,47683,5,1
249,41239,5,1
250,41060,5,1
251,72162,5,1
252,36754,5,1
253,36560,5,1
