ID,GiftID,TripID,Weight
1,77003,1,49.1924
2,9013,1,46.2526
3,50328,1,38.7796
4,17060,1,38.6587
5,6228,1,35.7889
6,7693,1,33.0264
7,22065,1,31.5771
8,18145,1,31.5423
9,34159,1,30.0452
10,93935,1,27.2889
11,74201,1,20.5818
12,40744,1,17.8324
13,85977,1,17.2387
14,52641,1,17.0309
15,19315,1,16.8852
16,90299,1,16.498
17,76162,1,15.8945
18,3071,1,15.1652
19,99635,1,14.4938
20,29520,1,12.7262
21,48831,1,9.42565
22,94933,1,8.28471
23,60400,1,2.95256
24,44994,1,1
25,10060,1,1
26,81918,1,1
27,86636,1,1
28,41838,1,1
29,3495,2,50
30,37747,2,38.9045
31,73734,2,37.5811
32,41362,2,37.1992
33,58874,2,36.9369
34,5071,2,36.0776
35,21028,2,30.7341
36,67533,2,30.4387
37,10452,2,29.6567
38,95682,2,28.3628
39,95945,2,27.7478
40,55222,2,25.6825
41,18222,2,25.357
42,43059,2,23.9135
43,28666,2,23.7691
44,94425,2,21.2542
45,66210,2,20.0776
46,46060,2,19.84
47,18728,2,15.0663
48,92065,2,14.9787
49,91657,2,12.6166
50,84118,2,12.3055
51,33615,2,12.0295
52,19955,2,10.7158
53,9937,2,10.6381
54,24277,2,10.1607
55,69373,2,9.30487
56,44662,2,8.40934
57,47556,2,7.00883
58,31836,2,6.2509
59,73842,2,5.37226
60,25575,2,4.87465
61,86800,2,4.77846
62,463,2,4.0898
63,81463,2,1.94043
64,7027,2,1.59307
65,69534,2,1
66,84953,2,1
67,85690,2,1
68,25670,2,1
69,35932,2,1
70,23798,2,1
71,23041,2,1
72,55770,2,1
73,62217,2,1
74,2409,2,1
75,29631,2,1
76,59772,3,50
77,95577,3,50
78,69632,3,47.6784
79,81757,3,44.5299
80,11837,3,39.7654
81,35616,3,39.2936
82,8831,3,37.9355
83,57737,3,37.7379
84,70916,3,37.133
85,91554,3,36.1604
86,1169,3,35.6696
87,20665,3,33.1231
88,11049,3,31.6524
89,49478,3,30.0369
90,94737,3,28.5992
91,4487,3,27.8767
92,92975,3,25.709
93,30668,3,25.1549
94,74193,3,22.7636
95,31190,3,22.4615
96,69711,3,21.4894
97,83954,3,21.3671
98,7667,3,19.2605
99,35860,3,19.0848
100,79694,3,16.5085
101,20695,3,14.5647
102,20806,3,13.8647
103,87703,3,13.8135
104,44740,3,12.0482
105,84311,3,10.9532
106,12603,3,10.6848
107,24300,3,9.11532
108,84467,3,8.0815
109,29273,3,6.74198
110,68935,3,4.49679
111,77501,3,3.37319
112,49958,3,1
113,57659,3,1
114,20103,3,1
115,14040,3,1
116,12762,3,1
117,68535,3,1
118,43293,3,1
119,23410,3,1
120,49215,3,1
121,10191,3,1
122,9356,3,1
123,79107,3,1
124,83915,3,1
125,84562,3,1
126,26715,3,1
127,13932,4,50
128,7727,4,49.7607
129,42841,4,43.9105
130,45108,4,39.9142
131,63769,4,37.0955
132,64417,4,34.9644
133,70779,4,34.2628
134,91280,4,28.4649
135,81391,4,25.8876
136,93404,4,21.9184
137,25181,4,19.8472
138,81643,4,19.3989
139,30126,4,15.1491
140,53548,4,1.52972
141,94795,4,1
142,84864,4,1
143,84163,4,1
144,71618,4,1
145,60237,4,1
146,60060,4,1
147,56814,4,1
148,3903,4,1
149,30355,5,48.1588
150,43490,5,46.6598
151,41611,5,40.0742
152,7457,5,38.505
153,38095,5,26.9822
154,2236,5,23.5027
155,4641,5,22.2372
156,79599,5,19.4457
157,18384,5,18.8426
158,7338,5,15.6691
159,13858,5,15.6486
160,49211,5,14.2304
161,4598,5,12.2211
162,67594,5,10.5354
163,4882,5,8.97745
164,6761,5,8.40021
165,1570,5,8.19347
166,91666,5,6.88047
167,97478,5,6.67988
168,6000,5,6.34427
169,60952,5,4.37649
170,84536,5,4.26594
171,24138,5,3.56126
172,41506,5,3.17422
173,6100,5,1
174,31240,5,1
175,21862,5,1
176,61919,5,1
177,66601,5,1
178,75850,5,1
179,5204,5,1
180,85709,5,1
181,86678,5,1
182,91016,5,1
183,4569,5,1
184,96505,5,1
185,37348,5,1
186,76109,6,45.8907
187,5292,6,41.2304
188,95615,6,41.2276
189,96311,6,38.4601
190,53829,6,29.3034
191,95359,6,25.4609
192,7364,6,24.6626
193,21706,6,24.5281
194,78272,6,22.348
195,70694,6,22.2694
196,15825,6,22.0105
197,48678,6,21.5202
198,40001,6,17.6529
199,64183,6,16.8795
200,95408,6,15.7106
201,98373,6,14.4876
202,16040,6,11.7091
203,44807,6,11.6468
204,77273,6,10.8203
205,6209,6,9.81089
206,60661,6,8.58611
207,50146,6,7.94221
208,46480,6,5.24623
209,30074,6,4.9424
210,37268,6,4.73813
211,41973,6,4.60187
212,2368,6,3.54946
213,68633,6,3.34255
214,81060,6,3.32323
215,9663,6,2.78578
216,41215,6,2.19348
217,18441,6,1
218,58525,6,1
219,82993,6,1
220,89554,6,1
221,59657,6,1
222,1682,6,1
223,4007,6,1
224,52725,6,1
225,25337,6,1
226,24391,6,1
227,63353,6,1
228,22592,7,45.2891
229,39782,7,36.3718
230,58888,7,34.7143
