ID,GiftID,TripID
1,38899,47
2,16567,47
3,66032,47
4,27457,47
5,56975,47
6,38122,47
7,8416,47
8,324,47
9,40829,47
10,5114,47
11,47665,47
12,31680,47
13,11173,47
14,74961,47
15,16163,47
16,14035,47
17,42136,47
18,53013,47
19,56497,47
20,62691,47
21,23644,47
22,62809,47
23,14827,47
24,51234,47
25,62439,55
26,604,55
27,48685,55
28,55837,55
29,50894,55
30,72820,55
31,48909,55
32,28928,55
33,35416,55
34,53114,55
35,59742,55
36,42074,55
37,3745,55
38,76084,55
39,3007,55
40,19505,55
41,53578,55
42,69340,55
43,65992,55
44,61185,55
45,79810,55
46,89016,55
47,67345,55
48,22819,55
49,26645,55
50,49748,55
51,86633,55
52,52321,55
53,88199,55
54,88537,55
55,42755,55
56,85569,55
57,82871,55
58,97658,55
59,66536,55
60,70309,55
61,76451,55
62,18689,55
63,5699,55
64,4691,55
65,72984,55
66,75608,55
67,85630,55
68,94666,60
69,21447,60
70,59332,60
71,6969,60
72,93470,60
73,8943,60
74,87020,60
75,18848,60
76,93998,60
77,65324,60
78,3911,60
79,45065,60
80,51088,60
81,92651,60
82,839,60
83,87726,60
84,81753,60
85,69660,60
86,79840,60
87,22347,60
88,18725,60
89,9367,60
90,59794,60
91,38734,60
92,42353,60
93,84167,60
94,6863,61
95,24650,61
96,32723,61
97,44702,61
98,52664,61
99,57718,61
100,41074,61
101,83515,61
102,7294,61
103,63357,61
104,37358,61
105,72446,61
106,31534,61
107,29414,61
108,28476,61
109,79847,61
110,13378,61
111,7371,61
112,41746,61
113,63441,61
114,3051,61
115,56026,61
116,68019,80
117,55828,80
118,95607,80
119,37786,80
120,73651,80
121,995,80
122,74654,80
123,16792,80
124,46427,80
125,28948,80
126,91761,80
127,82753,80
128,63238,80
129,86633,80
130,35922,80
131,34931,80
132,25279,80
133,74294,80
134,71675,80
135,70291,80
136,66536,80
137,57975,80
138,89726,80
139,52321,80
140,41397,80
141,16780,80
142,6723,80
143,78884,80
144,77828,81
145,55474,81
146,66053,81
147,47034,81
148,27158,81
149,55902,81
150,77568,81
151,58846,81
152,57344,81
153,33558,81
154,20144,81
155,68281,81
156,32856,81
157,29813,81
158,50286,81
159,48240,81
160,97538,81
161,20174,81
162,23704,81
163,9421,81
164,83986,81
165,72904,81
166,73481,81
167,37427,81
168,80322,81
169,94825,81
170,95904,81
171,59757,81
172,54771,81
173,64353,81
174,49568,81
175,17579,81
176,14928,81
177,13444,81
178,11041,81
179,60839,81
180,70147,82
181,2261,82
182,90209,82
183,55241,82
184,21409,82
185,81766,82
186,16544,82
187,91566,82
188,94453,82
189,83090,82
190,98762,82
191,72735,82
192,52045,82
193,8305,82
194,86831,82
195,73586,82
196,7079,82
197,45296,82
198,90556,82
199,12669,82
200,68636,82
201,28430,82
202,66460,82
203,8046,82
204,25021,82
205,7569,82
206,22651,82
207,30514,82
208,45686,82
209,74220,82
210,22627,82
211,99125,82
212,80174,82
213,51503,82
214,50314,82
215,60891,82
216,48236,82
217,9952,82
218,64138,82
219,80254,82
220,14168,82
221,87803,82
222,94654,82
223,12712,82
224,9781,82
225,97103,82
226,97194,82
227,56806,82
228,67642,82
229,53694,82
230,52384,82
231,79247,82
232,44983,82
233,38710,82
234,80583,82
235,28035,82
236,25348,82
237,82563,82
238,92672,82
239,93402,82
240,13883,82
241,99717,82
242,5013,82
243,64163,82
244,26802,83
245,57768,83
246,36276,83
247,6838,83
248,33222,83
249,5164,83
250,53673,83
251,70186,83
252,10734,83
253,2800,83
254,78750,83
255,46390,83
256,24201,83
257,52128,83
258,74807,83
259,18960,83
260,17212,83
261,10108,83
262,39754,83
263,94764,83
264,33058,83
265,31509,83
266,7423,83
267,91429,83
268,56329,83
269,28705,83
270,27610,83
271,46505,83
272,17935,83
273,51104,83
274,7855,83
275,70961,83
276,25231,84
277,2364,84
278,63942,84
279,52270,84
280,76447,84
281,93097,84
282,29132,84
283,59323,84
284,34991,84
285,21894,84
286,42107,84
287,63992,84
288,73476,84
289,63716,84
290,36471,84
291,71318,84
292,39606,84
293,72554,84
294,47922,84
295,35706,84
296,49359,84
297,89405,84
298,91518,84
299,22695,84
300,61017,84
301,13117,84
302,39401,84
303,55735,85
304,14327,85
305,89129,85
306,56913,85
307,10794,85
308,75824,85
309,78582,85
310,19253,85
311,64534,85
312,45450,85
313,94548,85
314,85819,85
315,57724,85
316,58801,85
317,10155,85
318,86106,85
319,34803,85
320,15273,85
321,65744,85
322,59895,85
323,17207,85
324,21650,85
325,11232,85
326,31887,85
327,78346,85
328,52682,85
329,77099,85
330,81929,85
331,83095,85
332,99367,85
333,89023,85
334,59455,85
335,34338,85
336,77470,85
337,94468,85
338,54747,85
339,15302,85
340,79073,85
341,27006,85
342,30063,85
343,94809,85
344,74979,85
345,73889,85
346,79616,85
347,47621,85
348,79886,85
349,66876,85
350,64715,85
351,57114,85
352,22244,85
353,10246,85
354,75541,85
355,57927,86
356,16704,86
357,56527,86
358,94196,86
359,10936,86
360,55194,86
361,15253,86
362,91003,86
363,43695,86
364,75594,86
365,68524,86
366,95702,86
367,83989,86
368,4414,86
369,13580,86
370,91638,86
371,8212,86
372,39099,86
373,46617,86
374,91626,86
375,10835,86
376,67000,86
377,75424,86
378,148,86
379,32341,86
380,88883,86
381,99668,86
382,33589,86
383,21214,86
384,18729,86
385,16094,86
386,69819,86
387,6226,86
388,67359,86
389,88354,86
390,65317,86
391,41953,86
392,75031,86
393,39648,86
394,50644,86
395,52875,86
396,69252,86
397,15946,86
398,71381,86
399,75020,86
400,31440,86
401,76407,86
402,86759,86
403,87612,86
404,89046,86
405,27345,86
406,65786,87
407,71230,87
408,2437,87
409,47308,87
410,8527,87
411,50549,87
412,37934,87
413,52310,87
414,25706,87
415,15487,87
416,36601,87
417,79837,87
418,62127,87
419,78607,87
420,31430,87
421,48026,87
422,75514,87
423,11952,87
424,40029,87
425,46508,87
426,31425,87
427,51883,87
428,71877,87
429,20140,87
430,49018,87
431,19153,87
432,77220,87
433,10933,87
434,33306,87
435,40824,87
436,53034,87
437,66645,87
438,79685,87
439,94966,87
440,12424,87
441,52015,87
442,67550,87
443,98624,87
444,74888,87
445,25039,87
446,24541,87
447,76835,87
448,88811,87
449,93080,87
450,13664,87
451,97204,87
452,47830,87
453,49903,87
454,59889,87
455,64734,87
456,28308,87
457,48519,87
458,20158,88
459,18872,88
460,11353,88
461,38057,88
462,92213,88
463,79210,88
464,14980,88
465,55903,88
466,96685,88
467,99024,88
468,57634,88
469,99385,88
470,83394,88
471,41028,88
472,56762,88
473,19119,88
474,94942,88
475,72841,88
476,96773,88
477,59485,88
478,99026,88
479,72900,88
480,91633,88
481,86648,88
482,90151,88
483,54856,88
484,40455,88
485,13696,88
486,42665,88
487,95706,88
488,87533,88
489,82420,88
490,82166,88
491,78115,88
492,77756,88
493,74472,88
494,73378,88
495,71141,88
496,70543,88
497,66136,88
498,62568,88
499,59509,88
