GiftId,TripId
32923,1
54950,1
99506,1
86480,1
83037,1
99315,1
89259,1
86822,1
34497,1
57481,1
77400,1
92866,1
5888,1
22090,1
7416,1
24326,1
42378,1
2538,1
97748,1
61992,1
11356,1
66464,1
93561,1
62914,1
50724,1
73793,1
3215,1
74622,1
72411,1
52698,1
54698,1
62670,1
26985,1
58301,1
20552,1
29419,1
46095,1
45139,1
77413,1
15408,1
45862,1
58952,1
33357,1
36735,1
47743,1
57671,1
44183,1
19194,1
18292,1
15897,1
44730,1
82946,1
7903,1
83557,1
94841,1
97544,1
31556,1
42838,2
64537,2
98854,2
30857,2
96416,2
98852,2
85273,2
43865,2
25296,2
48106,2
5091,2
78303,2
97892,2
96879,2
70155,2
53113,2
45964,2
15025,2
9749,2
1784,2
11590,3
25424,3
90339,3
68682,3
19112,3
98798,3
59549,3
75,3
72317,3
17046,3
96642,3
39541,3
69612,4
53237,4
97785,4
93951,4
90231,4
14715,4
94915,4
45991,4
59736,4
10006,4
92377,4
50427,4
6735,4
19919,4
70194,4
24768,4
96239,4
80045,4
3486,4
56887,4
82834,4
30240,4
28403,4
78745,4
39088,5
25191,5
43753,5
59013,5
3924,5
28201,5
53479,5
78970,5
36228,5
85975,5
84795,5
50752,5
72240,5
92878,5
53648,5
93243,5
67356,5
33020,5
13925,5
42866,5
16800,5
37272,5
75122,5
80299,5
87199,5
8674,5
664,5
62587,5
13959,6
49179,6
32261,6
28196,6
9542,6
85079,6
15153,6
1518,6
52371,6
93879,6
49187,6
98930,6
16328,6
97305,6
67374,6
37769,6
79521,6
21281,6
85854,6
79245,6
38750,6
21373,6
12033,6
55566,6
51775,6
58361,6
62534,6
43074,6
33719,6
32925,6
24304,6
24275,6
54506,6
42944,7
82282,7
88590,7
98007,7
10158,7
18277,7
34438,7
18535,7
74576,7
22857,7
95080,7
2776,7
4721,7
16242,7
4108,7
15829,7
41519,7
53515,7
64112,7
41533,7
91397,7
51061,7
41400,7
77741,7
82227,7
2478,7
1129,7
31978,7
41234,7
14696,7
55962,7
6706,7
6670,7
39924,7
4345,7
73607,7
36501,7
15064,7
38008,7
60366,7
92803,7
73937,8
17545,8
39915,8
18951,8
75634,8
61956,8
41155,8
57977,8
54217,8
93436,8
36217,8
86663,8
29297,8
56296,8
65404,8
92967,8
14153,8
72342,8
29669,8
13132,8
48881,8
73610,8
49304,8
72777,8
62814,8
98401,8
93785,8
91475,8
71713,8
66538,8
46962,8
40347,8
34311,8
33246,8
19457,8
17715,8
16123,8
11810,8
78774,9
44839,9
40705,9
69343,9
54657,9
81693,9
74167,9
8566,9
14929,9
28208,9
1573,9
44883,9
34492,9
8110,9
88294,9
6795,9
99427,9
2701,9
63687,9
56629,9
18862,9
88807,9
57365,9
33023,9
72301,9
42170,9
27144,9
32528,9
99578,9
92415,9
67413,9
17916,9
55496,9
41981,9
72527,9
90991,9
84788,9
10291,9
10995,9
13212,9
87367,9
77820,9
77681,9
89222,9
46123,9
54103,9
13109,9
58754,9
52186,9
45476,9
45234,9
71962,9
77114,9
38269,9
37091,9
33848,9
80436,9
85969,9
2890,9
59875,9
90619,10
60197,10
79312,10
54961,10
16514,10
98892,10
55232,10
69099,10
61935,10
89042,10
51542,10
43181,10
41878,10
41807,10
64730,10
29487,10
3920,10
35287,10
89024,10
33666,10
29754,10
14289,10
4516,10
42574,10
20173,10
7586,10
42427,10
8238,10
73821,10
58640,10
32940,10
66375,10
71831,10
44402,10
89688,10
27296,10
50401,10
66607,10
79982,10
80578,10
87576,10
40790,10
49015,10
3203,10
65720,10
26902,10
20493,10
17491,10
43090,10
87018,11
63285,11
13171,11
35682,11
94231,11
67729,11
64127,11
77250,11
52896,11
91985,11
62549,11
1242,11
86632,11
43415,11
96306,11
27624,11
37211,11
69940,11
20486,11
27462,11
37105,11
1192,11
52585,11
2609,11
51279,11
36256,11
43186,11
23310,11
65117,11
88950,11
6118,11
27121,11
24995,11
86959,11
17272,11
65115,11
51642,11
48592,11
65550,11
72728,11
76454,11
83302,11
83383,11
83618,11
95396,11
59661,11
73997,12
62399,12
95553,12
7152,12
68518,12
91587,12
79005,12
94077,12
53702,12
18329,12
9472,12
51558,12
8484,12
82935,12
4142,12
61876,12
95698,12
875,12
84705,12
29285,12
44554,12
45657,12
99750,12
17082,12
47307,12
35306,12
92131,12
92234,12
1970,12
65982,12
93057,12
88628,12
80268,12
31728,12
79538,12
80162,12
84453,12
59492,12
58903,12
29169,12
24469,12
89047,12
7883,12
76816,12
50337,13
17988,13
13186,13
49788,13
32363,13
55611,13
6745,13
82363,13
81863,13
75153,13
17665,13
53474,13
53636,13
61009,13
74359,13
54490,13
29401,13
3112,13
14130,13
68623,13
30114,13
1031,13
17047,13
53685,13
94527,13
58157,13
19729,13
18948,13
60238,13
63084,13
15521,13
63278,13
80229,13
8558,13
94233,13
42310,13
52276,13
32036,13
34299,13
30614,14
73080,14
89976,14
23581,14
17140,14
7860,14
80627,14
12967,14
57697,14
86179,14
72557,14
66656,14
84621,14
63569,14
25711,14
66685,14
25842,14
12946,14
55470,14
91630,14
20588,14
58483,14
59234,14
56647,14
59783,14
74775,14
6878,14
25478,14
93662,14
17255,14
98290,14
51021,14
46340,14
23189,14
94645,14
62934,14
35344,14
18808,14
62336,14
46099,14
18159,14
85887,14
14477,14
93451,14
78316,14
12262,14
10152,14
97093,14
81443,14
3891,15
96863,15
71037,15
36353,15
5079,15
50110,15
7376,15
4187,15
35425,15
76613,15
14649,15
24486,15
67152,15
31903,15
28032,15
36286,15
15106,15
94640,15
79147,15
99205,15
43488,15
31133,15
27020,15
48765,15
79261,15
7047,15
66265,15
15259,15
48378,15
19705,15
62072,15
10289,15
90442,15
22710,15
53524,15
7032,15
11890,15
90683,15
52024,15
41714,15
5639,15
54775,15
49835,15
47177,15
44491,15
37475,15
68659,15
69372,15
71977,15
34461,15
77319,15
30851,15
30157,15
81279,15
17692,15
84848,15
87665,15
5798,15
93281,15
1423,15
42881,15
11925,16
56649,16
90694,16
41119,16
13875,16
75534,16
11858,16
10388,16
88937,16
15451,16
34224,16
78550,16
72231,16
28506,16
33587,16
65809,16
16350,16
60942,16
95049,16
8810,16
77147,16
35734,16
33304,16
57552,16
9423,16
81990,16
9210,16
78152,16
41827,16
37803,16
16063,16
90742,16
91099,16
10778,16
96384,16
65524,16
69617,16
46734,16
45905,16
44912,16
41847,16
71601,16
30784,16
29993,16
28958,16
17585,16
85955,16
89112,16
2978,16
1231,16
25939,17
73279,17
2925,17
87071,17
16004,17
23558,17
90383,17
44433,17
19571,17
85571,17
29284,17
35440,17
94120,17
27996,17
71741,17
23753,17
43771,17
65782,17
65517,17
85450,17
95061,17
2552,17
86209,17
66020,17
32724,17
63214,17
26165,17
68687,17
70111,17
75788,17
84398,17
39965,17
62222,17
93399,17
36676,17
95996,18
85798,18
39069,18
27251,18
67760,18
33241,18
54035,18
73263,18
87500,18
18628,18
9526,18
51336,18
76894,18
67620,18
36791,18
3131,18
69997,18
66944,18
31054,18
97828,18
56632,18
77407,18
29264,18
35381,18
18516,18
44630,18
95022,18
10432,18
96203,18
4099,18
19913,18
37501,18
89113,18
40706,18
98108,18
93406,18
45019,18
37041,18
70659,18
67454,18
77008,18
55226,18
80323,18
82181,18
40338,18
87592,18
94230,18
16389,18
16352,18
69733,18
7898,19
33424,19
48787,19
39778,19
63717,19
86659,19
53373,19
29131,19
74981,19
28202,19
65862,19
1049,19
76612,19
38967,19
7081,19
57256,19
98594,19
69465,19
73329,19
50180,19
75161,19
72029,19
43296,19
75730,19
27246,19
49935,19
22136,19
25950,19
68947,19
84690,19
57288,19
73308,19
376,19
49983,19
56293,19
28312,19
9527,19
12230,19
20746,19
20113,19
9893,19
91568,19
94957,19
40593,19
53064,19
39718,19
72531,19
55993,19
31873,19
30085,19
86796,19
64694,19
46235,19
14886,20
15323,20
60418,20
85936,20
4372,20
70756,20
26829,20
31175,20
70344,20
88667,20
80704,20
50908,20
85730,20
86183,20
9294,20
25657,20
55841,20
96795,20
15102,20
84652,20
